REF_DATE,GEO,DGUID,Tenure including first-time homebuyer status,Select household characteristics,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2022,Ontario,2021A000235,Renter,"Total, household type",Number of households,Number,223,units,0,v1595207990,25.5.1.1,1963600,,,,0
2018,Ontario,2021A000235,Renter,One-family household - couple with children,Number of households,Number,223,units,0,v1595208056,25.5.2.1,261200,,,,0
2021,Ontario,2021A000235,Renter,One-family household - couple with children,Number of households,Number,223,units,0,v1595208056,25.5.2.1,261200,,,,0
2022,Ontario,2021A000235,Renter,One-family household - couple with children,Number of households,Number,223,units,0,v1595208056,25.5.2.1,341800,,,,0
2018,Ontario,2021A000235,Renter,One-family household - couple without children,Number of households,Number,223,units,0,v1595208110,25.5.3.1,267200,,,,0
2021,Ontario,2021A000235,Renter,One-family household - couple without children,Number of households,Number,223,units,0,v1595208110,25.5.3.1,280400,,,,0
2022,Ontario,2021A000235,Renter,One-family household - couple without children,Number of households,Number,223,units,0,v1595208110,25.5.3.1,313300,,,,0
2018,Ontario,2021A000235,Renter,One-family household - one-parent family,Number of households,Number,223,units,0,v1595208116,25.5.4.1,186100,,,,0
2021,Ontario,2021A000235,Renter,One-family household - one-parent family,Number of households,Number,223,units,0,v1595208116,25.5.4.1,212200,,,,0
2022,Ontario,2021A000235,Renter,One-family household - one-parent family,Number of households,Number,223,units,0,v1595208116,25.5.4.1,220500,,,,0
2018,Ontario,2021A000235,Renter,Other family household,Number of households,Number,223,units,0,v1595208122,25.5.5.1,72800,,,,0
2021,Ontario,2021A000235,Renter,Other family household,Number of households,Number,223,units,0,v1595208122,25.5.5.1,92500,,,,0
2022,Ontario,2021A000235,Renter,Other family household,Number of households,Number,223,units,0,v1595208122,25.5.5.1,74800,,,,0
2018,Ontario,2021A000235,Renter,One-person household,Number of households,Number,223,units,0,v1595208128,25.5.6.1,726400,,,,0
2021,Ontario,2021A000235,Renter,One-person household,Number of households,Number,223,units,0,v1595208128,25.5.6.1,769600,,,,0
